id,doi,title,abstract,summary,domains,topics,description,expert_id,type,subtitles,publishers,collection,date_issue,citation,language,identifiers,created_at,updated_at,source,authors,publication_year,field,subfield
46,https://doi.org/10.1186/s13006-016-0092-7,"Sociocultural factors influencing breastfeeding practices in two slums in Nairobi, Kenya",,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.738512+00:00,2025-03-10 17:02:22.738512+00:00,openalex,[],2016,Research,General Research
35,https://doi.org/10.1007/s11524-014-9894-3,"Vulnerability to Food Insecurity in Urban Slums: Experiences from Nairobi, Kenya",,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.766887+00:00,2025-03-10 17:02:21.766887+00:00,openalex,[],2014,Research,General Research
44,https://doi.org/10.1186/1471-2393-14-259,"A qualitative study on barriers to utilisation of institutional delivery services in Moroto and Napak districts, Uganda: implications for programming",,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.464364+00:00,2025-03-10 17:02:22.464364+00:00,openalex,[],2014,Research,General Research
51,https://doi.org/10.1016/s0140-6736(20)30925-9,"Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",,,[],,,,publications,,,,,,,,2025-03-10 17:02:23.438962+00:00,2025-03-10 17:02:23.438962+00:00,openalex,[],2020,Research,General Research
32,https://doi.org/10.1186/1471-2458-9-465,Overweight and obesity in urban Africa: A problem of the rich or the poor?,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.536329+00:00,2025-03-10 17:02:21.536329+00:00,openalex,[],2009,Research,General Research
49,https://doi.org/10.1016/j.rser.2018.12.006,Adoption and impacts of clean bioenergy cookstoves in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.970271+00:00,2025-03-10 17:02:22.970271+00:00,openalex,[],2018,Research,General Research
40,https://doi.org/10.1186/s12913-024-11700-x,The economic burden of type 2 diabetes on the public healthcare system in Kenya: a cost of illness study,,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.234470+00:00,2025-03-10 17:02:22.234470+00:00,openalex,[],2024,Research,General Research
1248004140,,Briefing Papers,,,,,,,documents,,,documents,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
1348585051,,"Enhancing Participation and Quality of Experiences of Women in Science Technology Engineering and Mathematics (STEM): Postgraduate Training Programs and Careers in Tanzania, Data Validation Report",,,,,,,publications,,,publications,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Education,Learning
76467397,,"Examining Participation and Quality of Experiences of Women in Science Technology Engineering and Mathematics (STEM): Postgraduate Training Programs and Careers in Rwanda, Data Validation Report",,,,,,,publications,,,publications,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Education,Learning
68,https://doi.org/10.1186/s12889-019-7543-1,Factors associated with consistent condom use: a cross-sectional survey of two Nigerian universities,,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.805494+00:00,2025-03-10 17:02:24.805494+00:00,openalex,[],2019,Research,General Research
87,https://doi.org/10.1007/978-94-6300-396-4_3,Shattering The “Broken Window” Fallacy,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.779641+00:00,2025-03-10 17:02:26.779641+00:00,openalex,[],2016,Research,General Research
69,https://doi.org/10.1097/qad.0000000000001879,From HIV prevention to non-communicable disease health promotion efforts in sub-Saharan Africa,,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.059842+00:00,2025-03-10 17:02:25.059842+00:00,openalex,[],2018,Research,General Research
76,https://doi.org/10.1016/j.idm.2023.02.001,Observed versus estimated actual trend of COVID-19 case numbers in Cameroon: A data-driven modelling,,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.649345+00:00,2025-03-10 17:02:25.649345+00:00,openalex,[],2023,Research,General Research
81,https://doi.org/10.1093/heapol/czx011,Gender dynamics affecting maternal health and health care access and use in Uganda,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.273060+00:00,2025-03-10 17:02:26.273060+00:00,openalex,[],2017,Research,General Research
74,https://doi.org/10.1016/s0140-6736(17)32152-9,"Global, regional, and national age-sex specific mortality for 264 causes of death, 1980–2016: a systematic analysis for the Global Burden of Disease Study 2016",,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.338217+00:00,2025-03-10 17:02:25.338217+00:00,openalex,[],2017,Research,General Research
66,https://doi.org/10.1186/s12879-018-3087-8,"Factors affecting adherence to antiretroviral therapy among pregnant women in the Eastern Cape, South Africa",,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.800085+00:00,2025-03-10 17:02:24.800085+00:00,openalex,[],2018,Research,General Research
64,https://doi.org/10.1016/j.ssmph.2018.10.014,Measuring gender norms about relationships in early adolescence: Results from the global early adolescent study,,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.568980+00:00,2025-03-10 17:02:24.568980+00:00,openalex,[],2018,Research,General Research
63,https://doi.org/10.1186/s12889-015-2400-3,Factors associated with repeat induced abortion in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.566489+00:00,2025-03-10 17:02:24.566489+00:00,openalex,[],2015,Research,General Research
82,https://doi.org/10.1186/s12978-016-0119-y,The neonatal mortality and its determinants in rural communities of Eastern Uganda,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.276522+00:00,2025-03-10 17:02:26.276522+00:00,openalex,[],2016,Research,General Research
85,https://doi.org/10.1007/978-3-031-51575-0_2,Providing Continuity of Student Instruction During and After COVID-19: An International Study of School Leader’s Use of Technology,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.769191+00:00,2025-03-10 17:02:26.769191+00:00,openalex,[],2024,Research,General Research
78,https://doi.org/10.1186/s12913-020-05745-x,Do the dynamics of vaccine programs improve the full immunization of children under the age of five in Cameroon?,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.037987+00:00,2025-03-10 17:02:26.037987+00:00,openalex,[],2020,Research,General Research
86,https://doi.org/10.1177/2158244015596207,Going Full Circle With Teacher Feedback,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.774421+00:00,2025-03-10 17:02:26.774421+00:00,openalex,[],2015,Research,General Research
79,https://doi.org/10.1111/rode.13103,Free zones and manufactured export competitiveness from Africa,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.040808+00:00,2025-03-10 17:02:26.040808+00:00,openalex,[],2024,Research,General Research
71,https://doi.org/10.5772/intechopen.89507,Non-Communicable Diseases and Urbanization in African Cities: A Narrative Review,,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.064740+00:00,2025-03-10 17:02:25.064740+00:00,openalex,[],2019,Research,General Research
61,https://doi.org/10.1016/s0140-6736(12)60407-3,Adolescent health in the 21st century,,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.308375+00:00,2025-03-10 17:02:24.308375+00:00,openalex,[],2012,Research,General Research
62,https://doi.org/10.1080/07399332.2012.740112,Emotional and Psychosocial Aspects of Menstrual Poverty in Resource-Poor Settings: A Qualitative Study of the Experiences of Adolescent Girls in an Informal Settlement in Nairobi,,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.310854+00:00,2025-03-10 17:02:24.310854+00:00,openalex,[],2012,Research,General Research
83,https://doi.org/10.1002/pam.21782,IMPROVING EARLY‐GRADE LITERACY IN EAST AFRICA: EXPERIMENTAL EVIDENCE FROM KENYA AND UGANDA,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.533342+00:00,2025-03-10 17:02:26.533342+00:00,openalex,[],2014,Research,General Research
77,https://doi.org/10.1186/s12887-018-1049-3,"HIV-1 transmission and survival according to feeding options in infants born to HIV-infected women in Yaoundé, Cameroon",,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.651599+00:00,2025-03-10 17:02:25.651599+00:00,openalex,[],2018,Research,General Research
73,https://doi.org/10.1016/s0140-6736(16)31678-6,"Global, regional, and national incidence, prevalence, and years lived with disability for 310 diseases and injuries, 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015",,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.335605+00:00,2025-03-10 17:02:25.335605+00:00,openalex,[],2016,Research,General Research
210418411,,Published Paper,,,,,,,other,,,other,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
70,https://doi.org/10.7189/jogh.09.010201,First Africa non-communicable disease research conference 2017: sharing evidence and identifying research priorities,,,[],,,,publications,,,,,,,,2025-03-10 17:02:25.062366+00:00,2025-03-10 17:02:25.062366+00:00,openalex,[],2019,Research,General Research
84,https://doi.org/10.1186/s12889-015-2403-0,Household food (in)security and nutritional status of urban poor children aged 6 to 23 months in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:26.538015+00:00,2025-03-10 17:02:26.538015+00:00,openalex,[],2015,Research,General Research
60,https://doi.org/10.1007/s12571-016-0589-3,The effect of education on household food security in two informal urban settlements in Kenya: a longitudinal analysis,,,[],,,,publications,,,,,,,,2025-03-10 17:02:24.305490+00:00,2025-03-10 17:02:24.305490+00:00,openalex,[],2016,Research,General Research
1676655800,,"Examining Participation and Quality of Experiences of Women in Science Technology Engineering and Mathematics (STEM): Postgraduate Training Programs and Careers in Kenya, Data Validation Report",,,,,,,documents,,,documents,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Education,Learning
311679996,,Technical Paper,,,,,,,documents,,,documents,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
98,https://doi.org/10.1186/s12889-017-4536-9,A population-based national estimate of the prevalence and risk factors associated with hypertension in Rwanda: implications for prevention and control,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.988363+00:00,2025-03-10 17:02:27.988363+00:00,openalex,[],2017,Research,General Research
94,https://doi.org/10.1016/s2352-3018(20)30042-4,Dolutegravir-associated hyperglycaemia in patients with HIV,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.508323+00:00,2025-03-10 17:02:27.508323+00:00,openalex,[],2020,Research,General Research
102,https://doi.org/10.28945/1505,A Mixed Research Investigation of Factors Related to Time to the Doctorate in Education,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.220043+00:00,2025-03-10 17:02:28.220043+00:00,openalex,[],2011,Research,General Research
106,https://doi.org/10.1371/journal.pone.0157745,Association between Dietary Patterns and Cardiovascular Risk Factors among Middle-Aged and Elderly Adults in Taiwan: A Population-Based Study from 2003 to 2012,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.474242+00:00,2025-03-10 17:02:28.474242+00:00,openalex,[],2016,Research,General Research
95,https://doi.org/10.1186/s12916-020-01779-4,The impact of COVID-19 control measures on social contacts and transmission in Kenyan informal settlements,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.738361+00:00,2025-03-10 17:02:27.738361+00:00,openalex,[],2020,Research,General Research
111,https://doi.org/10.1136/bmjopen-2022-064275,"Multimorbidity of cardiometabolic diseases: a cross-sectional study of patterns, clusters and associated risk factors in sub-Saharan Africa",,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.954090+00:00,2025-03-10 17:02:28.954090+00:00,openalex,[],2023,Research,General Research
107,https://doi.org/10.3390/ijerph15081583,"A Systematic Review of Sexual and Reproductive Health Knowledge, Experiences and Access to Services among Refugee, Migrant and Displaced Girls and Young Women in Africa",,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.726488+00:00,2025-03-10 17:02:28.726488+00:00,openalex,[],2018,Research,General Research
112,https://doi.org/10.1093/cid/ciz859,The Effect of Helminth Infections and Their Treatment on Metabolic Outcomes: Results of a Cluster-Randomized Trial,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.956844+00:00,2025-03-10 17:02:28.956844+00:00,openalex,[],2019,Research,General Research
14,https://doi.org/10.1186/s40359-024-01533-y,Parental stress and child stimulation practices: examining associations with child developmental outcomes over time in Kenya and Zambia,,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.661545+00:00,2025-03-10 17:02:19.661545+00:00,openalex,[],2024,Research,General Research
100,https://doi.org/10.1186/s12889-022-13330-6,Perceived cardiovascular disease risk and tailored communication strategies among rural and urban community dwellers in Rwanda: a qualitative study,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.993261+00:00,2025-03-10 17:02:27.993261+00:00,openalex,[],2022,Research,General Research
113,https://doi.org/10.1038/ng.2797,Discovery and refinement of loci associated with lipid levels,,,[],,,,publications,,,,,,,,2025-03-10 17:02:29.197712+00:00,2025-03-10 17:02:29.197712+00:00,openalex,[],2013,Research,General Research
105,https://doi.org/10.3390/ijerph14040359,The Associations between Types of Ambient PM2.5 and Under-Five and Maternal Mortality in Africa,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.471798+00:00,2025-03-10 17:02:28.471798+00:00,openalex,[],2017,Research,General Research
92,https://doi.org/10.4269/ajtmh.20-0546,Predicting the Impact of COVID-19 and the Potential Impact of the Public Health Response on Disease Burden in Uganda,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.498338+00:00,2025-03-10 17:02:27.498338+00:00,openalex,[],2020,Health,Public Health
99,https://doi.org/10.1080/23288604.2022.2061891,Strengths and Weaknesses of Strategic Health Purchasing for Universal Health Coverage in Rwanda,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.991019+00:00,2025-03-10 17:02:27.991019+00:00,openalex,[],2022,Research,General Research
90,https://doi.org/10.1111/j.1399-3038.2010.01122.x,Anthelminthic treatment during pregnancy is associated with increased risk of infantile eczema: randomised‐controlled trial results,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.025237+00:00,2025-03-10 17:02:27.025237+00:00,openalex,[],2011,Research,General Research
101,https://doi.org/10.1186/2046-4053-2-10,Survival of patients with non-small cell lung cancer without treatment: a systematic review and meta-analysis,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.217461+00:00,2025-03-10 17:02:28.217461+00:00,openalex,[],2013,Research,General Research
104,https://doi.org/10.1186/s12889-016-3075-0,"Associations in the continuum of care for maternal, newborn and child health: a population-based study of 12 sub-Saharan Africa countries",,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.469269+00:00,2025-03-10 17:02:28.469269+00:00,openalex,[],2016,Research,General Research
108,https://doi.org/10.3390/ijerph15020193,“Girls Have More Challenges; They Need to Be Locked Up”: A Qualitative Study of Gender Norms and the Sexuality of Young Adolescents in Uganda,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.729089+00:00,2025-03-10 17:02:28.729089+00:00,openalex,[],2018,Research,General Research
110,https://doi.org/10.1542/peds.2014-2774,Handheld Echocardiography Versus Auscultation for Detection of Rheumatic Heart Disease,,,[],,,,publications,,,,,,,,2025-03-10 17:02:28.950964+00:00,2025-03-10 17:02:28.950964+00:00,openalex,[],2015,Research,General Research
91,https://doi.org/10.1186/s12889-025-21801-9,Validation of the Global Scales of Early Development (GSED) tool in rural Western Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.260504+00:00,2025-03-10 17:02:27.260504+00:00,openalex,[],2025,Research,General Research
93,https://doi.org/10.1093/cid/ciy347,Outcomes of Patients Lost to Follow-up in African Antiretroviral Therapy Programs: Individual Patient Data Meta-analysis,,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.503376+00:00,2025-03-10 17:02:27.503376+00:00,openalex,[],2018,Research,General Research
2111988559,,Human Development Theme,,,,,,,documents,,,documents,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
1064424668,,A Day in the Life of a Young Urban Farmer in 2050,,,,,,,publications,,,publications,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
96,https://doi.org/10.2471/blt.20.260281,"COVID-19 related knowledge, attitudes, practices and needs of households in informal settlements in Nairobi, Kenya",,,[],,,,publications,,,,,,,,2025-03-10 17:02:27.741261+00:00,2025-03-10 17:02:27.741261+00:00,openalex,[],2020,Research,General Research
772057864,,Service Charter,,,,,,,publications,,,publications,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
